Index,Original text,Modified text,High emotion,Subject matter,Ideological alignment
27,"The Trump Administration must end its family separation policy, provide clean and safe facilities for migrants in US custody, and work with Congress to ensure just and compassionate treatment for those escaping violence in the Northern Triangle and applying for asylum in America","The Administration must end its family separation policy, provide clean and safe facilities for migrants in US custody, and work with Congress to ensure just and compassionate treatment for those escaping violence in the Northern Triangle and applying for asylum in America",Trust,Immigration,Left
28,"Our border policy should serve Americans & legal immigrants, not smugglers! The Flores final rule will ensure children are kept with their families, humanely cared for & no longer exploited. President @realDonaldTrump is working to secure our border—time for Congress to step up!","Our border policy should serve Americans & legal immigrants, not smugglers. The Flores final rule will ensure children are kept with their families, humanely cared for and no longer exploited. The President is working to secure our border—time for Congress to step up!",Trust,Immigration,Right
29,It’s clear there is a humanitarian crisis happening at the border. Operation Safe Return is a bipartisan step to fix some of the challenges our immigration system is facing by making sure the process at our border is as humane and efficient as possible,It’s clear there is a humanitarian crisis happening at the border. Operation Safe Return is a bipartisan step to fix some of the challenges our immigration system is facing by making sure the process at our border is as humane and efficient as possible,Trust,Immigration,None
32,"I have hope for these families looking for a better life. It’s the same better life my father sought when he came to America as a refugee from war-torn Poland. We need immigration policies that restore dignity and decency, and we in Congress (both House & Senate!) must act now.","I have hope for these families looking for a better life. It’s the same better life my ancestors sought when they came to America. We need immigration policies that restore dignity and decency, and we in Congress (both House & Senate!) must act now.",Trust,Immigration,None
33,"This is a big victory for the rule of law & against asylum fraud. Proud that @POTUS @realDonaldTrump is handling this crisis head on, protecting U.S. sovereignty, & addressing dangerous loopholes in a process that is being taken advantage of!","This is a big victory for the rule of law & against asylum fraud. Proud that @POTUS is handling this crisis head on, protecting U.S. sovereignty, & addressing dangerous loopholes in a process that is being taken advantage of!",Trust,Immigration,Right
34,"Servant leadership means listening, then leading. I’m at the Southern border today with the Armed Services Committee to learn more about border security & conditions at ICE facilities and to hear from our military on the ground who've been reassigned to border patrol assignments.","Servant leadership means listening, then leading. I’m at the Southern border today with the Armed Services Committee to learn more about border security & conditions at ICE facilities and to hear from our military on the ground who've been reassigned to border patrol assignments.",Trust,Immigration,None
35,"Let’s be clear: decades of U.S. asylum & immigration law (upheld time and again by U.S. courts) protects children & families seeking safe haven in the United States. These laws comply with international law, treaties and agreements the U.S. has signed","Let’s be clear: decades of U.S. asylum & immigration law (upheld time and again by U.S. courts) protects children & families seeking safe haven in the United States. These laws comply with international law, treaties and agreements the U.S. has signed",Trust,Immigration,None
36,"Responding to the humanitarian & security crisis on the southern border requires a team effort. Fully equipping agencies is a step forward, but Congress must pass real solutions to fix laws that incentivize dangerous migration","Responding to the humanitarian & security crisis on the southern border requires a team effort. Fully equipping agencies is a step forward, but Congress must pass real solutions to fix laws that incentivize dangerous migration",Trust,Immigration,None
37,"When it comes to making policy, we've got to have a facts first approach.There's been a lot of talk about border security and immigration, but I wanted to see for myself what is going on. So today I toured a migrant shelter, an ICE detention center, and a border patrol station.","When it comes to making policy, we've got to have a facts first approach.There's been a lot of talk about border security and immigration, but I wanted to see for myself what is going on. So today I toured a migrant shelter, an ICE detention center, and a border patrol station.",Trust,Immigration,None
38,Turning away refugees will not make us safer.,Turning away refugees will not make us safer.,None,Immigration,Left
40,"Today, Senator Josh Hawley joins @senjudiciary to get a firsthand look at the crisis at the southern border in McAllen, TX, & to learn more about the challenges our agents face, the problems these local communities are dealing with & how we can figure out a path forward","Today, I went to get a firsthand look at the crisis at the southern border, to learn more about the challenges our agents face, the problems these local communities are dealing with, and how we can figure out a path forward",None,Immigration,None
41,"When I visited the southern border earlier this month, I saw the dedication and professionalism of the men and women of @CBP first-hand.","When I visited the southern border earlier this month, I saw the dedication and professionalism of the men and women of @CBP first-hand.",None,Immigration,None
42,Today I asked officials about the current levels & demographics of individuals crossing our southern border & how they are working to ensure the safety of unaccompanied children at the border,"Today I asked officials about the current levels and demographics of individuals crossing our southern border, and how they are working to ensure the safety of unaccompanied children at the border",None,Immigration,None
44,"The current crisis at our border is multifaceted and requires a holistic approach. By tackling these problems piece by piece, we will get this situation under control.","The current crisis at our border is multifaceted and requires a holistic approach. By tackling these problems piece by piece, we will get this situation under control.",None,Immigration,None
47,"It’s also clear that #wallswork. New border wall construction is underway, significantly bolstering our national security","It’s also clear that #wallswork. New border wall construction is underway, significantly bolstering our national security",None,Immigration,Right
48,Walls work. This isn’t a left or right issue—this is about giving our agents at the border what they need to protect our communities,Walls work. This isn’t a left or right issue—this is about giving our agents at the border what they need to protect our communities,None,Immigration,Right
